time,latitude,GPS Speed,longitude,Gyro Y,GY MA
31.726,36.901062,17.75,-76.30372,-0.04550946,-0.002092213
31.806,36.901062,17.75,-76.30372,-0.04550946,0.002260202
31.896,36.901062,17.75,-76.30372,-0.022602014,0.001939498
31.986,36.901062,17.75,-76.30372,-0.022602014,0.000473421
32.066,36.901062,17.75,-76.30372,-0.027183503,0.001343904
32.156,36.901062,17.75,-76.30372,-0.027183503,0.002443462
32.236,36.901062,17.75,-76.30372,-0.003665192,0.004856379
32.322,36.901062,17.75,-76.30372,-0.003665192,0.006093382
32.431,36.901062,17.75,-76.30372,-0.07819075,0.004627305
32.526,36.9009,18,-76.303665,-0.07819075,0.006887506
32.606,36.9009,18,-76.303665,-0.05589417,0.009147708
32.691,36.9009,18,-76.303665,-0.05589417,0.009147708
32.776,36.9009,18,-76.303665,0.12186762,0.009147708
32.856,36.9009,18,-76.303665,0.12186762,0.001343904
32.946,36.9009,18,-76.303665,0.12186762,-0.0064599
33.026,36.9009,18,-76.303665,-0.013744468,-0.013133603
33.106,36.9009,18,-76.303665,-0.013744468,-0.013026701
33.196,36.9009,18,-76.303665,0.022296581,-0.014446963
33.276,36.9009,18,-76.303665,0.022296581,-0.017669277
33.366,36.9009,18,-76.303665,0.04153884,-0.019058995
33.446,36.9009,18,-76.303665,0.04153884,-0.021410827
33.526,36.90074,18.25,-76.30361,-0.051923547,-0.023136521
33.626,36.90074,18.25,-76.30361,-0.051923547,-0.020189096
33.706,36.90074,18.25,-76.30361,-0.005192355,-0.021777346
33.786,36.90074,18.25,-76.30361,-0.005192355,-0.025702155
33.876,36.90074,18.25,-76.30361,0.02107485,-0.025457809
33.956,36.90074,18.25,-76.30361,0.02107485,-0.026526823
34.041,36.90074,18.25,-76.30361,-0.032986723,-0.029123001
34.126,36.90074,18.25,-76.30361,-0.032986723,-0.029016099
34.206,36.90074,18.25,-76.30361,-0.032986723,-0.025152376
34.296,36.90074,18.25,-76.30361,-0.05589417,-0.021288654
34.386,36.90074,18.25,-76.30361,-0.05589417,-0.016279559
34.466,36.900585,18.25,-76.303566,-0.034208454,-0.013897184
34.556,36.900585,18.25,-76.303566,-0.034208454,-0.012599096
34.636,36.900585,18.25,-76.303566,-0.01160644,-0.013255776
34.721,36.900585,18.25,-76.303566,-0.01160644,-0.015042557
34.806,36.900585,18.25,-76.303566,-0.0421497,-0.01731803
34.886,36.900585,18.25,-76.303566,-0.0421497,-0.01806634
34.976,36.900585,18.25,-76.303566,-0.005497787,-0.017180586
35.056,36.900585,18.25,-76.303566,-0.005497787,-0.018127427
35.14,36.900585,18.25,-76.303566,0.00702495,-0.020250183
35.226,36.900585,18.25,-76.303566,0.00702495,-0.022999077
35.316,36.900585,18.25,-76.303566,-0.08368854,-0.028069258
35.426,36.90042,18.25,-76.30352,-0.08368854,-0.028603765
35.506,36.90042,18.25,-76.30352,-3.05E-04,-0.029810224
35.596,36.90042,18.25,-76.30352,-3.05E-04,-0.035185839
35.676,36.90042,18.25,-76.30352,-0.030848695,-0.040561453
35.761,36.90042,18.25,-76.30352,-0.030848695,-0.040989059
35.846,36.90042,18.25,-76.30352,0.04428773,-0.041416665
35.926,36.90042,18.25,-76.30352,0.04428773,-0.04783075
36.016,36.90042,18.25,-76.30352,0.04428773,-0.054244835
36.096,36.90042,18.25,-76.30352,-0.008246681,-0.058811052
36.18,36.90042,18.25,-76.30352,-0.008246681,-0.06075055
36.266,36.90042,18.25,-76.30352,-0.04734206,-0.062430429
36.346,36.90042,18.25,-76.30352,-0.04734206,-0.06215554
36.436,36.90042,18.25,-76.30352,-0.0571159,-0.060170227
36.516,36.90042,18.25,-76.30352,-0.0571159,-0.057696223
36.596,36.90042,18.25,-76.30352,-0.02443461,-0.054779342
36.686,36.90042,18.25,-76.30352,-0.02443461,-0.053496525
36.766,36.90042,18.25,-76.30352,-0.04795292,-0.051312681
36.852,36.90042,18.25,-76.30352,-0.04795292,-0.047952923
36.926,36.90042,18.25,-76.30352,-0.09437868,-0.044593164
37.011,36.90042,18.25,-76.30352,-0.09437868,-0.035735618
37.106,36.90042,18.25,-76.30352,-0.10781772,-0.026878072
37.176,36.90042,18.25,-76.30352,-0.10781772,-0.013530666
37.266,36.90042,18.25,-76.30352,-0.10781772,-0.00018326
37.346,36.90042,18.25,-76.30352,-0.03940081,0.009040806
37.43,36.90042,18.25,-76.30352,-0.03940081,0.014844026
37.526,36.90042,18.25,-76.30352,-0.08399397,0.021105395
37.606,36.90042,18.25,-76.30352,-0.08399397,0.029596422
37.696,36.900105,18,-76.30342,-0.047036625,0.037369682
37.786,36.900105,18,-76.30342,-0.047036625,0.043295076
37.866,36.900105,18,-76.30342,-0.04184427,0.068584896
37.95,36.900105,18,-76.30342,-0.04184427,0.093615098
38.036,36.900105,18,-76.30342,-0.007635816,0.100624777
38.116,36.900105,18,-76.30342,-0.007635816,0.105924033
38.196,36.900105,18,-76.30342,0.001221731,0.101052382
38.276,36.900105,18,-76.30342,0.001221731,0.095737854
38.361,36.900105,18,-76.30342,0.019242255,0.095524051
38.446,36.89995,18,-76.30338,0.019242255,0.094409222
38.536,36.89995,18,-76.30338,0.019242255,0.098807452
38.622,36.89995,18,-76.30338,0.08277224,0.103205682
38.706,36.89995,18,-76.30338,0.08277224,0.100869122
38.786,36.89995,18,-76.30338,0.1591304,0.098532563
38.876,36.89995,18,-76.30338,0.1591304,0.088529644
38.956,36.89995,18,-76.30338,0.07666359,0.078526726
39.041,36.89995,18,-76.30338,0.07666359,0.074601916
39.126,36.89995,18,-76.30338,0.08582657,0.070677107
39.206,36.89995,18,-76.30338,0.08582657,0.067668596
39.296,36.89995,18,-76.30338,0.07147124,0.064660084
39.386,36.89995,18,-76.30338,0.07147124,0.058948494
39.466,36.89995,18,-76.30338,0.45875978,0.053236903
39.561,36.89995,18,-76.30338,0.45875978,0.031077768
39.646,36.89995,18,-76.30338,0.0983493,0.008918632
39.726,36.89995,18,-76.30338,0.0983493,0.005635231
39.821,36.89995,18,-76.30338,-0.105068825,0.002351831
39.906,36.89995,18,-76.30338,-0.105068825,0.006826419
39.996,36.89995,18,-76.30338,-0.003054326,0.011301007
40.086,36.89995,18,-76.30338,-0.003054326,0.009850202
